X_REF,Y_REF,elevation,yield,ECs,ECd
874575.246,6550004.78,126.095831,3.68470327,7.37458773,7.58035475
874585.246,6550004.78,126.002646,3.7466421,8.130399,7.9713192
874595.246,6550004.78,125.920267,4.09378512,8.12836666,8.65588988
874605.246,6550004.78,125.859454,3.78793115,8.21514991,9.2724719
874615.246,6550004.78,125.8175,3.58188787,8.44639734,9.20291241
874625.246,6550004.78,125.79731,3.2715046,8.42252783,8.66047872
874635.246,6550004.78,125.776001,3.0217919,7.62010386,7.90132131
874645.246,6550004.78,125.741685,2.52618434,7.12350586,7.25992864
874655.246,6550004.78,125.704683,2.64269704,6.67460482,6.95269949
874665.246,6550004.78,125.617471,3.3493624,6.39873299,7.14626612
874675.246,6550004.78,125.498023,3.65143412,6.61996445,7.3262955
874685.246,6550004.78,125.3961,4.09993041,7.74269641,8.00374854
874695.246,6550004.78,125.323771,4.0934167,8.3261403,8.81883698
874705.246,6550004.78,125.254597,4.69425772,9.17901591,9.28973475
874715.246,6550004.78,125.200434,6.53060769,9.93188213,9.8065448
874725.246,6550004.78,125.140467,7.95014367,9.54235204,9.36809718
874735.246,6550004.78,125.069778,7.97092065,9.34265058,9.61726576
874745.246,6550004.78,124.992847,8.22008048,9.16534936,8.83101538
874755.246,6550004.78,124.940977,7.72575846,8.70798134,7.87182556
874765.246,6550004.78,124.851348,7.48589063,7.8684414,8.21276786
874775.246,6550004.78,124.760188,8.26979731,8.50054263,8.62771762
874785.246,6550004.78,124.697199,8.64654656,9.34096905,9.23028569
874795.246,6550004.78,124.63378,9.46546583,9.49656353,9.75617092
874805.246,6550004.78,124.559662,10.2333296,9.03666328,9.49437958
874815.246,6550004.78,124.50565,10.9712696,9.38675826,9.43088555
874825.246,6550004.78,124.471509,11.0505478,9.72830814,9.39323735
874835.246,6550004.78,124.451874,9.80477979,9.77198873,9.71314381
